第一 部分 ： 寂静 的 春天 第一 章 ： 1 . 疯狂 年代|||PARTIE I : UN PRINTEMPS SILENCIEUX CHAPITRE 1 : LES ANNÉES DE FOLIE 
大楼 顶上 出现 了 一个 娇小 的 身影 ， 那个 美丽 的 女孩子 挥动 着 一面 “ 四 · 二八 ” 的 大 旗 ， 她 的 出现 立刻 招 来 了 一阵 杂乱 的 枪声 ， 射击 的 武器 五花八门 ， 有 陈旧 的 美式 卡宾枪 、 捷克式 机枪 和 三八 大盖 ， 也 有 崭新 的 制式 步枪 和 冲锋枪 —— 后者 是 在 “ 八月 社论 ” 发表 之后 从 军队 中 偷 抢 来 的 （ 注 ： 1967年 8月 《 红旗 》 杂志 发表 “ 揪军 内 一小撮 ” 的 社论 ， 使 冲击 军区 、 抢夺 军队 枪支 弹药 的 事件 愈演愈烈 ， 全国 范围 的 武斗 也 进入 高 · 潮 。 ）|||Une silhouette gracile émergea au sommet de la tour , celle d’ une belle jeune fille brandissant un grand étendard sur lequel on lisait “ 28 avril ” . Son irruption fut accueillie par une volée de coups de feu . C’ était un cocktail hétérogène d’ armes : des vieilles carabines à l’ américaine , en passant par des ZB-26 tchèques , des Arisaka Type 38 , jusqu’ à des armes plus récentes , comme des fusils d’ assaut et des pistolets - mitrailleurs – ces derniers avaient été dérobés à l’ armée au lendemain de la parution de “ L’ éditorial d’ août”en 1967 , qui avait déclenché une explosion des conflits entre différentes factions de gardes rouges à l’ échelle de tout le pays . ( N.d . A. ) 

——连同 那些 梭标 和 大刀 等 冷兵器 ， 构成 了 一 部 浓缩 的 近现代史 … … “ 四 · 二八 ” 的 人 在 前面 多次 玩 过 这个 游戏 ， 在 楼顶 上 站 出 来 的 人 ， 除 了 挥舞 旗帜 外 ， 有时 还 用 喇叭筒 喊 口号 或 向 下 撒传单 ， 每次 他们 都 能 在 弹雨 中 全身而退 ， 为 自己 挣 到 了 崇高 的 荣誉 。|||On trouvait même des armes blanches comme des coutelas et des lances , qui formaient avec les armes à feu un véritable condensé de l’ histoire moderne … Les miliciens de la brigade du 28 Avril connaissaient la chanson par cœur . Outre l’ étendard , le camarade perché sur le toit se servait parfois d’ un haut-parleur pour vociférer des slogans ou bien il lançait des tracts au pied du bâtiment . Chaque fois , ceux qui parvenaient à sortir indemnes de la pluie de projectiles étaient couverts de gloire . 

这 次 出 来 的 女孩儿 显然 也 相信 自己 还有 那样 的 幸运 她 挥舞 着 战旗 ， 挥动 着 自己 燃烧 的 青春 ， 敌人 将 在 这 火焰 中 化为灰烬 ， 理想 世界 明天 就 会 在 她 那 沸腾 的 热血 中 诞生 … … 她 陶醉 在 这 鲜红 灿烂 的 梦幻 中 ， 直到 被 一 颗 步枪 子弹 洞 穿 了 胸膛 ， 十五 岁 少女 的 胸膛 是 那 么 柔嫩 ， 那 颗 子弹 穿过 后 基本上 没有 减速 ， 在 她 身后 的 空中 发出 一 声 啾鸣 。|||En secouant ce drapeau de guerre , c’ était son adolescence passionnée qu’ elle agitait . L’ ennemi serait bientôt consumé par les flammes et demain , un monde idéal jaillirait de son sang bouillonnant … Alors qu’ elle s’ enivrait de ce triomphal rêve écarlate , la balle d’ un fusil lui transperça le corps . La poitrine de cette jeune fille de quinze ans était si frêle qu’ elle ne freina même pas la vitesse du projectile qui , une fois passé au travers , émit un sifflement dans son dos . 

年轻 的 红卫兵 同 她 的 旗帜 一 起 从 楼顶 落 下 ， 她 那 轻盈 的 身体 落 得 甚至 比 旗帜 还 慢 ， 仿佛 小鸟 眷恋 着 天空 。|||La jeune garde rouge s’ écroula en même temps que son drapeau , mais sa silhouette délicate s’ effondra moins vite que l’ étendard . Elle plana jusqu’ au sol , comme un oisillon amoureux du ciel . 

“ 红色 联合 ” 的 战士 们 欢呼 起 来 ， 几 个 人 冲 到 楼下 ， 掀开 四．二八 的 旗帜 ， 抬 起 下面 纤小 的 遗体 ， 作为 一个 战利品 炫耀 地 举 了 一 段 ， 然后 将 她 高高 地 扔 向 大院 的 铁门 ， 铁门 上 带 尖 的 金属 栅条 大部分 在 武斗 初期 就 被 抽 走 当 梭标 了 ， 剩下 的 两 条 正好 挂 住 了 她 ， 那 一瞬间 ， 生命 似乎 又 回到 了 那个 柔软 的 躯体 。|||Les gardes rouges de l’ Union tirèrent des salves de joie . Certains grimpèrent jusqu’ au toit de la tour , où ils arrachèrent l’ étendard de la brigade du 28 Avril et brandirent fièrement la dépouille de la milicienne comme un trophée de guerre , avant de la lancer depuis cette hauteur jusqu’ au portail en fer de la grande cour . Les barreaux aux extrémités pointues des grilles métalliques du portail avaient été arrachés pour servir de lances au début du combat . Il n’ en restait plus que deux sur lesquels la jeune garde rouge vint par malchance s’ empaler . 

红色 联合 的 红卫兵 们 退 后 一 段 距离 ， 将 那个 挂 在 高处 的 躯体 当 靶子 练习 射击 ， 密集 的 子弹 对 她 来 说 已 柔和 如 雨 ， 不 再 带 来 任何 感觉 ， 她 那 春藤 般 的 手臂 不 时 轻挥 一下 ， 仿佛 拂 去 落 在 身上 的 雨滴 ， 直到 那 颗 年轻 的 头颅 被 打 掉 了 一半 ， 仅 剩 的 一 只 美丽 的 眼睛 仍然 凝视 着 一九六七年 的 蓝天 ， 目光 中 没有 痛苦 ， 只有 凝固 的 激情 和 渴望 。|||L’ espace d’ un instant , la vie sembla regagner ce corps gracieux . Les gardes rouges de l’ Union firent quelques pas en arrière et mitraillèrent le corps suspendu de la fille comme une cible d’ entraînement . Ce feu nourri de balles fut pour elle aussi doux qu' une ondée printanière , elle ne ressentait plus rien , ses bras se soulevaient par moments telles des branches de lierre , comme si son corps était balayé par des gouttes de pluie , jusqu’ à ce qu’ enfin la moitié de sa jeune tête se détache et qu’ il ne lui reste plus qu’ un œil , magnifique , en train de contempler le ciel bleu de cette année 1967 . Un regard où la souffrance était absente et où ne demeuraient plus qu’ un espoir et une ardeur inflexibles . 

其实 ， 比 起 另外 一些 人 来 ， 她 还是 幸运 的 ， 至少 是 在 为 理想 献身 的 壮丽 激情 中 死去 。|||Elle avait en réalité eu plus de chance que les autres : elle , au moins , avait sacrifié sa vie au plein cœur d’ un épisode de passion idéaliste . 

这样 的 热点 遍布 整 座 城市 ， 像 无数 并行 运算 的 CPU ， 将 “ 文革大革命 ” 联 为 一个 整体 。|||Ce fanatisme s’ empara de la ville entière , comme si des processeurs fonctionnaient en parallèle . La “ Révolution culturelle ” était devenue un seul et unique combat . 

疯狂 如同 无形 的 洪水 ， 将 城市 淹没 其中 并 渗透 到 每 一个 细微 的 角落 和 缝隙 。|||Un déluge informe et frénétique s’ abattait maintenant sur la cité , s’ engouffrant dans la moindre brèche , se faufilant dans le moindre recoin . 

在 城市 边缘 的 那 所 著名 大学 的 操场 上 ， 一 场 几千 人 参加 的 批斗会 已经 进行 了 近 两 个 小时 。|||Aux confins de la ville , sur le terrain de sport d’ une université , une séance de critique publique à laquelle assistaient plusieurs milliers de personnes avait commencé depuis près de deux heures . 

在 这个 派别 林立 的 年代 ， 任何 一 处 都 有 错综复杂 的 对立 派别 在 格斗 。|||En ces temps où coexistaient de multiples factions , des conflits complexes éclataient partout entre différentes obédiences . 

在 校园 中 ， 红卫兵 、 文革 工作组 、 工宣队 和 军宣队 ， 相互之间 都 在 爆发 尖锐 的 冲突 ， 而 每种 派别 的 内部 又 时时 分化 出 新 的 对立派系 ， 捍卫 着 各自 不 同 的 背景 和 纲领 ， 爆发 更 为 残酷 的 较量 。|||Rien que sur le campus , des hostilités brutales opposaient gardes rouges , membres du Groupe de travail de la Révolution culturelle , miliciens de la brigade de propagande des travailleurs ou de la brigade de propagande des soldats . Chaque groupe finissait souvent par imploser et donnait naissance à de nouvelles coalitions internes qui revendiquaient chacune des principes et des programmes uniques . Leurs antagonismes déchaînaient des actes d’ une cruauté plus infâme encore . 

但 这 次 被 批斗 的 反动 学术 权威 ， 却 是 任何 一 方 均 无 异议 的 斗争 目标 ， 他们 也 只能 同时 承受 来 自 各方 的 残酷 打击 。|||Ils partageaient pourtant un ennemi commun : l’ Autorité académique réactionnaire , si bien que les malheureux qu’ on disait appartenir à cette tendance devaient endurer des attaques féroces provenant de tous côtés . 

与 其他 的 牛鬼蛇神 相比 ， 反动 学术 权威 有 他们 的 特点 ： 当 打击 最初 到 来 时 ， 他们 的 表现 往往 是 高傲 而 顽固 的 ， 这 也 是 他们 伤亡率 最高 的 阶段 ； 在 首都 ， 四十 天 的 时间 里 就 有 一千七百 多 名 批斗 对象 被 活活 打 死 ， 更 多 的 人 选择 了 更 快捷 的 路径 来 逃避 疯狂 ， 老舍 、 吴晗 、 葛伯赞 、 傅雷 、 赵九章 、 以 群 、 闻捷 、 海默 等 ， 都 自己 结束 了 他们 那 曾经 让 人 肃然起敬 的 生命 。|||Les membres de l’ Autorité académique réactionnaire possédaient des particularités qui les distinguaient des autres adversaires malfaisants de la révolution . Lorsqu’ ils avaient été attaqués , leur première réaction avait été de répondre avec orgueil et ténacité , mais c’ était cette attitude qui leur avait valu le plus d’ exécutions . Rien que dans la capitale , en l’ espace de quarante jours seulement , plus de mille sept cents personnes furent battues à mort au cours de séances de critique publique . Pour échapper à cette folie , beaucoup d’ entre eux choisirent une voie plus rapide : Lao She , Wu Han , Jian Bozan , Fu Lei , Zhao Jiuzhang , Yi Qun , Wen Jie , Hai Mo et tant d’ autres décidèrent de mettre eux - mêmes un terme à des vies autrefois très estimées . 

从 这 一 阶段 幸存 下 来 的 人 ， 在 持续 的 残酷 打击 下 渐渐 麻木 ， 这 是 一 种 自我 保护 的 精神 外壳 ， 使 他们 避免 最后 的 崩溃 。|||Ceux qui avaient survécu à cette étape devenaient progressivement insensibles aux coups répétés de fureur révolutionnaire ; c’ était comme s’ ils avaient développé une carapace spirituelle qui les protégeait d’ un effondrement final . 

他们 在 批斗会 上 常常 进入 半 睡眠 状态 ， 只 有 一 声 恫吓 才 能 使 其 惊醒 过 来 ， 机械 地 重复 那 已 说 过 无数 遍 的 认罪词 ； 然后 ， 他们 中 的 一部分 人 便 进入 了 第三 阶段 ， 旷日持久 的 批判 将 鲜明 的 政治 图像 如 水银 般 注入 了 他们 的 意识 ， 将 他们 那 由 知识 和 理性 构筑 的 思想 大厦 彻底 摧毁 ， 他们 真 的 相信 自己 有 罪 ， 真 的 看到 了 自己 对 伟大 事业 构成 的 损害 ， 并 为 此 痛哭流涕 ， 他们 的 忏悔 往往 比 那 此 非 知识分子 的 牛鬼蛇神 要 深刻 得 多 ， 也 真诚 得 多 ； 而 对于 红卫兵 来 说 ， 进入 后 两 个 阶段 的 批判 对象 是 最 乏味 的 ， 只有 处于 第一 阶段 的 牛鬼蛇神 才 能 对 他们 那 早已 过度 兴奋 的 神经 产生 有效 的 刺激 ， 如同 斗 牛士 手上 的 红 布 ， 但 这样 的 对象 越 来 越 少 了 ， 在 这 所 大学 中 可能 只 剩下 一个 ， 他 由于 自己 的 珍稀 而 被 留 到 批判 大会 最后 出场 。|||Lors des séances de critique publique , ils plongeaient dans un état de demi-sommeil que seules les menaces vociférées à leur encontre étaient à même de secouer , ils répétaient mécaniquement un nombre incalculable de fois les mêmes aveux . Puis , le moment venait pour certains d’ entre eux de passer à la troisième étape : après une séance de critique ayant duré jusqu’ au soir , la glorieuse idéologie politique de la révolution se déversait comme du mercure dans leur conscience , ébranlant les fondations d’ un édifice intellectuel jadis façonné par le savoir et la raison . Ils se mettaient à se croire effectivement coupables , constataient les dégâts qu’ ils avaient véritablement causés à la grande cause du peuple , et ils pleuraient de douleur . Les confessions des intellectuels étaient toujours beaucoup plus profondes et sincères que celles des autres ennemis de la révolution . 

叶哲泰 从 文革 开始 一直 活 到 了 现在 ， 并且 一直 处于 第一 阶段 ， 他 不 认罪 ， 不 自杀 ， 也 不 麻木 。|||Seuls les dangereux ennemis qui restaient bloqués à la première étape étaient capables de susciter une ferveur dans leurs esprits depuis longtemps fanatisés . Ces adversaires étaient des morceaux de tissu rouge agités par un matador , mais ils se faisaient de plus en plus rares . Il n’ en restait plus qu’ un seul dans cette université , un professeur dont la rare intransigeance lui avait valu l’ honneur d’ être le dernier convoqué en séance de critique publique . Ye Zhetai avait survécu à la Révolution culturelle jusqu’ à ce jour et il en était toujours à la première étape : non seulement il refusait de reconnaître ses crimes , mais il ne s’ était pas donné la mort et n’ était pas devenu insensible aux accusations portées contre lui . 

当 这 位 物理学 教授 走 上 批判台 时 ， 他 那 神情 分明 在 说 ： 让 我 背负 的 十字架 更 沉重 一些 吧 ！|||Lorsque le professeur de physique arriva à la barre , l’ expression dans son regard disait clairement : Alourdissez encore ma croix ! 

红卫兵 们 让 他 负担 的 东西 确实 很 重 ， 但 不 是 十字架 。|||Mais si le fardeau que les gardes rouges lui faisaient porter était en effet écrasant , ce n’ était pas une croix . 

别 的 批判 对象 戴 的 高帽子 都 是 用 竹条 扎 的 框架 ， 而 他 戴 的 这 顶 却 是 用 一 指 粗 的 钢筋 焊成 的 ， 还有 他 挂 在 胸前 的 那 块 牌子 ， 也 不 是 别人 挂 的 木板 ， 而是 从 实验室 的 一个 烤箱 上 拆 下 的 铁门 ， 上面 用 黑色 醒目 地 写 着 他 的 名字 ， 并 沿 对 角线 画 上 了 一个 红色 的 大叉 。|||Les personnes condamnées à des séances de critique publique devaient en temps normal être coiffées d’ un haut chapeau tressé en bambou , mais le sien était en acier soudé . Il portait aussi une pancarte sur sa poitrine , pas en bois comme d’ ordinaire , mais une plaque en fer qui n’ était autre que la porte du four de son laboratoire , barrée en diagonale d’ une grande croix rouge et sur laquelle était écrit son nom en caractères noirs clinquants . 2 . 

押送 叶哲泰 上台 的 红卫兵 比别 的 批判 对象 多 了 一 倍 ， 有 六 人 ， 两 男 四 女 。|||Les gardes rouges qui escortaient Ye Zhetai étaient deux fois plus nombreux que d' habitude : ils étaient six , deux garçons et quatre filles . 

两 个 男 青年 步伐 稳健 有力 ， 一 副 成熟 的 青年 布尔什维克 形象 ， 他们 都 是 物理系 理论 物理 专业 大 四 年级 的 ， 叶哲泰 曾 是 他们 的 老师 ； 那 四 名 女孩子 要 年轻 得 多 ， 都 是 大学 附中 的 初二 学生 ， 这些 穿 着 军装 扎 着 武装带 的 小 战士 挟 带 着 逼 人 的 青春 活力 ， 像 四 团 绿色 的 火焰 包围 着 叶哲泰 。|||Les deux garçons marchaient d' un pas sûr et soutenu , leur apparence était celle de jeunes bolcheviks aguerris . Tous deux étaient en quatrième année de licence de sciences physiques , mention " physique théorique " , et par ailleurs anciens étudiants de Ye Zhetai . Les quatre filles , beaucoup plus jeunes , étaient élèves de deuxième année du lycée affilié à l' université . Ces petites combattantes vêtues d' un uniforme serré à la taille par une ceinture militaire irradiaient de l' énergie bouillonnante propre à l' adolescence . 

叶哲泰 的 出现 使 下面 的 人群 兴奋 起 来 ， 刚才 已 有 些 乏力 的 口号声 又 像 新 一 轮 海潮 般 重新 高昂 起 来 ， 淹没 了 一切 。|||L' apparition de ce dernier provoqua l' embrasement de la foule qui se trouvait sous la tribune et les slogans que l' on rechignait à clamer quelques instants plus tôt résonnèrent de plus belle , comme une marée emportant tout sur son passage . 

耐心 地 等 口号 声 平息 下去 后 ， 台上 两 名 男红 卫兵 中 的 一 人 转向 批判 对象 ： “ 叶哲泰 ， 你 精通 各种 力学 ， 应该 看到 自己 正在 抗拒 的 这 股 伟大 的 合力 是 多 么 强大 ， 顽固 下去 是 死路一条 ！|||Après avoir patiemment attendu la fin de ce déferlement , les deux garçons debout sur l' estrade se tournèrent vers l' accusé : — Camarade Ye Zhetai , vous êtes un expert en sciences mécaniques , vous devez bien vous rendre compte que la force unie contre laquelle vous résistez est si puissante que si vous continuez à vous obstiner , elle vous conduira à la mort ! 

今天 继续 上次 大会 的 议程 ， 废话 就 不 多 说 了 。|||Nous allons aujourd'hui reprendre la séance là où nous nous étions arrêtés la dernière fois . Ne perdons pas de temps en palabres . 

老实 回答 下面 的 问题 ： 在 六 二 至 六 五 届 的 基础课 中 ， 你 是 不 是 擅自 加入 了 大量 的 相对论 内容 ？|||Professeur Ye , répondez à la question suivante : de 1962 à 1965 , lors de vos cours d' introduction à la physique , avez -vous , oui ou non , donné sans permission un grand nombre d' informations sur la théorie de la relativité ? 

！ ” “ 相对论 已经 成为 物理学 的 古典 理论 ， 基础 课怎 么 能 不 涉及 它 呢 ？ ” 叶哲泰 回答 说 。|||— La théorie de la relativité est un principe de base des sciences physiques , comment pourrais -je ne pas en avoir parlé durant mes cours de physique fondamentale ? répondit Ye Zhetai . 

“ 你 胡说 ！ ” 旁边 的 一 名 女 红卫兵 厉声 说 ， “ 爱因斯坦 是 反动 的 学术 权威 ， 他 有奶便是娘 ， 跑 去 为 美 帝国主义 造 原子弹 ！|||— Menteur ! hurla une jeune garde rouge à côté de lui . Einstein était un représentant de l' Autorité académique réactionnaire ! Et , comme les mauvais esprits se rencontrent , il est parti fabriquer la bombe atomique pour les impérialistes américains ! 

要 建立 起 革命 的 科学 ， 就要 打倒 以 相对论 为 代表 的 资产阶级 理论 黑旗 ！ ”|||Si nous voulons fonder une science véritablement révolutionnaire , il nous faut d' abord mettre à bas le pavillon noir de la théorie de la relativité qui représente les intérêts de la classe bourgeoise ! 

叶哲泰 沉默 着 ， 他 在 忍受 着 头 上 铁 高帽 和 胸前 铁板 带 来 的 痛苦 ， 不 值得 回应 的 问题 就 沉默 了 。|||Ye Zhetai garda le silence , il encaissait la souffrance de devoir porter une coiffe de métal et une plaque sur la poitrine , restant muet aux questions qui ne méritaient aucune réponse . 

在 他 身后 ， 他 的 学生 也 微微 皱 了 一下 眉头 。|||Dans son dos , ses étudiants fronçaient les sourcils . 

说话 的 女孩儿 是 这 四 个 中学 红卫兵 中 天资 最 聪颖 的 一个 ， 并且 显然 有 备 而 来 ， 刚才 上台 前 还 看到 她 在 背批 判稿 ， 但 要 对付 叶哲泰 ， 仅 凭 她 那 几 句 口号 是 不 行 的 。|||La jeune fille qui venait de prendre la parole était la plus sagace des quatre jeunes gardes rouges . Elle avait manifestement préparé sa tirade , car il l' avait vue un peu plus tôt répéter derrière la tribune . Cependant , pour affronter Ye Zhetai , il ne suffisait pas d' ânonner des slogans . 

他们 决定 亮 出 今天 为 老师 准备 的 新武器 ， 其中 的 一 人 对 台下 挥 了 一下手 。|||Aujourd'hui , ils avaient choisi de faire usage d' une arme nouvelle pour vaincre le professeur . Une jeune garde rouge fit un signe de main à quelqu' un dans l' assistance . 

叶哲泰 的 妻子 ， 同 系 的 物理学 教授 绍琳 从 台下 的 前排 站 起 来 ， 走 上 台 。|||Assise au premier rang , Shao Lin , épouse de Ye Zhetai et collègue de celui-ci dans la faculté de sciences physiques , se leva et monta sur l' estrade . 

她 身 穿 一 件 很 不 合体 的 草绿色 衣服 ， 显然 想 与 红卫兵 的 色彩 拉 近 距离 ， 但 熟悉 绍琳 的 人 联想 到 以前 常 穿 精致 旗袍 讲课 的 她 ， 总 觉得 别扭 。|||Elle était affublée d' une veste vert gazon qui ne lui allait pas du tout , mais qui se voulait tout proche de la couleur des uniformes des gardes rouges . Cependant , pour tous ceux qui avaient connu Shao Lin et savaient qu' elle aimait dans le passé se vêtir d' élégantes robes mandchoues , cet accoutrement paraissait saugrenu . 

“ 叶哲泰 ！ ”|||— Ye Zhetai ! cria -t -elle à l' adresse de son époux . 

绍琳 指 着 丈夫 喝道 ， 她 显然 不 习惯 于 这种 场合 ， 尽量 拔高 自己 的 声音 ， 却 连 其中 的 颤抖 也 放大 了 ， “ 你 没有 想到 我 会 站 出 来 揭发 你 ， 批判 你 吧 ！ ？|||Il était évident qu' elle n' avait guère l' habitude de ce genre de spectacle , et élever le ton lui coûtait des efforts , au point même que les trémolos dans sa voix avaient redoublé d' intensité . — Tu ne t' imaginais certainement pas que je me dresserais devant toi aujourd'hui pour te dénoncer et te critiquer , n' est -ce pas ? 

是 的 ， 我 以前 受 你 欺骗 ， 你 用 自己 那 反动 的 世界观 和 科学观 蒙蔽 了 我 ！|||Oui , tu m' as autrefois bernée , tu m' as aveuglée avec ta vision réactionnaire du monde et de la science ! Mais j' ai ouvert les yeux à présent ! 

现在 我 醒悟 了 ， 在 革命 小将 的 帮助 下 ， 我 要 站 到 革命 的 一边 ， 人民 的 一边 ！ ”|||Grâce à l' aide des petits généraux de la révolution , je me tiens désormais du côté de la révolution , du côté du peuple ! Elle se tourna vers l' assistance : — Camarades ! Petits généraux de la révolution ! 

她 转向 台下 ， / ” 同志 们 、 革命 小将 们 、 革命 的 教职员工 们 ， 我们 应该 认清 爱因斯坦 相对论 的 反动 本质 ， 这种 本质 ， 广义 相对论 体现 得 最 清楚 ； 它 提出 的 静态 宇宙 模型 ， 否 定 了 物质 的 运动 本性 ， 是 反 辩证法 的 ！|||Vous tous , personnels et éducateurs révolutionnaires ! Nous devons prendre conscience de la nature réactionnaire de la théorie de la relativité d' Einstein . Son aspect réactionnaire est encore plus explicite pour ce qui est du principe de la relativité gravitationnelle ! Il propose un modèle statique de l' univers et nie la nature dynamique de la matière . 

它 认为 宇宙 有限 ， 更 是 彻头彻尾 的 反动 唯心主义 … … ”|||Elle prétend que l' univers a des limites , ce qui n' est autre chose que de l' idéalisme réactionnaire … 

听 着 妻子 滔滔不绝 的 演讲 ， 叶哲 泰苦 笑 了 一下 。|||En entendant son épouse déverser son éloquent discours , Ye Zhetai eut un sourire amer : 

琳 ， 我 蒙蔽 了 你 ？|||— Lin , je t' ai donc aveuglée ? 

其实 你 在 我 心中 倒 一直 是 个 谜 。|||À dire vrai , tu as toujours été une énigme pour moi . 

一 次 ， 我 对 你 父亲 称赞 你 那 过人 的 天资 —— 他 很 幸运 ， 去 得 早 ， 躲 过 了 这 场 灾难 —— 老人 家 摇摇头 ， 说 我 女儿 不 可能 在 学术 上 有什 么 建树 ； 接着 ， 他 说 出 了 对 我 后半生 很 重要 的 一 句 话 ： 琳琳 太 聪明 了 ， 可是 搞 基础理论 ， 不 笨 不 行 啊 。|||Un jour , j' ai loué ton intelligence devant ton père – il a d' ailleurs de la chance d' être déjà parti , cela lui épargne d' être aujourd'hui témoin de ce désastre – , il a secoué la tête et m' a affirmé que sa fille n' apporterait jamais aucune contribution à la science . Puis , il a prononcé cette phrase qui s' est gravée en moi pour le reste de ma vie : " Lin est trop intelligente . Pour réussir dans le domaine des théories fondamentales , il faut être stupide . " 

以后 的 许多 年 里 ， 我 不 断悟 出 这话 的 深意 。|||Les années ont passé et je n' ai cessé de méditer la signification de cette phrase . 

琳 ， 你 真 的 太 聪明 了 ， 早 在 几 年 前 ， 你 就 嗅 出 了 知识界 的 政治 风向 ， 做出 了 一些 超前 的 举动 ， 比如 你 在 教学 中 ， 把 大部分 物理 定律 和 参数 都 改 了 名字 ， 欧姆 定律 改 叫 电阻 定律 ， 麦克斯韦方程 改名 成 电磁 方程 ， 普朗克 常数 叫 成 了 量子 常数 … … 你 对 学生 们 解释 说 ： 所有 的 科学 成果 都 是 广大 劳动 人民 智慧 的 结晶 ， 那些 资产阶级 学术 权威 不 过 是 窃取 了 这些 智慧 。|||Lin , tu es trop intelligente . Voilà déjà quelques années que tu as senti le vent politique tourner dans le monde académique . Tu as assuré tes arrières , par exemple en changeant dans tes cours les intitulés des paramètres et des lois de la physique : la loi d' Ohm est devenue la loi de la résistance électrique , les équations de Maxwell sont devenues les équations électromagnétiques , la constante de Planck est devenue la loi des quanta … Tu expliques à tes étudiants que les résultats de la science ne sont que la cristallisation de la sagesse des masses laborieuses , que les autorités académiques réactionnaires ne faisaient que dérober les fruits de cette sagesse . 

但 即使 这样 ， 你 仍然 没有 被 “ 革命 主流 ” 所 接纳 ， 看看 现在 的 你 ， 衣袖 上 没有 “ 革命 教职员工 ” 都 戴 着 的 红袖章 ； 你 两手空空地 上 来 ， 连 一 本 语录 都 没 资格 拿 … … 谁 让 你 出生 在 旧 中国 那样 一个 显赫 的 家庭 ， 你 父母 又 都 是 那 么 著名 的 学者 。|||Mais malgré ton zèle , tu n' as toujours pas été admise dans le courant révolutionnaire , regarde - toi maintenant , tu ne portes même pas sur tes manches le brassard rouge du " personnel éducatif de la révolution " . Tu es venue les mains vides , sans même avoir le droit d' emporter avec toi un ouvrage des citations des plus grands révolutionnaires … Pourquoi le destin t' a -t -il fait naître dans une illustre famille de la Chine ancienne ? Et dire que tes parents sont tous deux d' éminents scientifiques . 

说 起 爱因斯坦 ， 你 比 我 有 更 多 的 东西 需要 交待 。|||Tiens , en parlant d' Einstein , tu as sans doute davantage à confesser que moi . 

1922年 冬天 ， 爱因斯坦 到 上海 访问 ， 你 父亲 因 德语 很 好 被 安排 为 接待 陪同者 之一 。|||Cet hiver de l' année 1922 , lorsque Einstein est venu à Shanghai pour donner une conférence , ton père , qui parlait très bien l' allemand , a été désigné pour faire partie de ses accompagnateurs . 

你 多次 告诉 我 ， 父亲 是 在 爱因斯坦 的 亲自 教诲 下 走 上 物理学 之 路 的 ， 而 你 选择 物理 专业 又 是 受 了 父亲 的 影响 ， 所以 爱翁 也 可以 看作 你 的 间接 导师 ， 你 为 此 感到 无比 的 自豪 和 幸福 。|||Tu m' as raconté plusieurs fois que c' est avec la bénédiction d' Einstein lui-même que ton père avait suivi la voie des sciences physiques et que , si tu avais choisi de faire de la physique ton métier , c' était sous l' influence directe de ton père . Ce qui faisait donc du grand Albert ton mentor indirect ! Quel bonheur , quelle fierté tu en tirais ! 

