第一部分：寂静的春天 第一章：1.疯狂年代	PARTIE I:UN PRINTEMPS SILENCIEUX CHAPITRE 1:LES ANNÉES DE FOLIE
年轻的红卫兵同她的旗帜一起从楼顶落下，她那轻盈的身体落得甚至比旗帜还慢，仿佛小鸟眷恋着天空。	La jeune garde rouge s’écroula en même temps que son drapeau, mais sa silhouette délicate s’effondra moins vite que l’étendard. Elle plana jusqu’au sol, comme un oisillon amoureux du ciel.
“红色联合”的战士们欢呼起来，几个人冲到楼下，掀开四．二八的旗帜，抬起下面纤小的遗体，作为一个战利品炫耀地举了一段，然后将她高高地扔向大院的铁门，铁门上带尖的金属栅条大部分在武斗初期就被抽走当梭标了，剩下的两条正好挂住了她，那一瞬间，生命似乎又回到了那个柔软的躯体。	Les gardes rouges de l’Union tirèrent des salves de joie. Certains grimpèrent jusqu’au toit de la tour, où ils arrachèrent l’étendard de la brigade du 28 Avril et brandirent fièrement la dépouille de la milicienne comme un trophée de guerre, avant de la lancer depuis cette hauteur jusqu’au portail en fer de la grande cour. Les barreaux aux extrémités pointues des grilles métalliques du portail avaient été arrachés pour servir de lances au début du combat. Il n’en restait plus que deux sur lesquels la jeune garde rouge vint par malchance s’empaler.
红色联合的红卫兵们退后一段距离，将那个挂在高处的躯体当靶子练习射击，密集的子弹对她来说已柔和如雨，不再带来任何感觉，她那春藤般的手臂不时轻挥一下，仿佛拂去落在身上的雨滴，直到那颗年轻的头颅被打掉了一半，仅剩的一只美丽的眼睛仍然凝视着一九六七年的蓝天，目光中没有痛苦，只有凝固的激情和渴望。	L’espace d’un instant, la vie sembla regagner ce corps gracieux. Les gardes rouges de l’Union firent quelques pas en arrière et mitraillèrent le corps suspendu de la fille comme une cible d’entraînement. Ce feu nourri de balles fut pour elle aussi doux qu'une ondée printanière, elle ne ressentait plus rien, ses bras se soulevaient par moments telles des branches de lierre, comme si son corps était balayé par des gouttes de pluie, jusqu’à ce qu’enfin la moitié de sa jeune tête se détache et qu’il ne lui reste plus qu’un œil, magnifique, en train de contempler le ciel bleu de cette année 1967. Un regard où la souffrance était absente et où ne demeuraient plus qu’un espoir et une ardeur inflexibles.
其实，比起另外一些人来，她还是幸运的，至少是在为理想献身的壮丽激情中死去。	Elle avait en réalité eu plus de chance que les autres : elle, au moins, avait sacrifié sa vie au plein cœur d’un épisode de passion idéaliste.
这样的热点遍布整座城市，像无数并行运算的CPU，将“文革大革命”联为一个整体。	Ce fanatisme s’empara de la ville entière, comme si des processeurs fonctionnaient en parallèle. La “Révolution culturelle” était devenue un seul et unique combat.
疯狂如同无形的洪水，将城市淹没其中并渗透到每一个细微的角落和缝隙。	Un déluge informe et frénétique s’abattait maintenant sur la cité, s’engouffrant dans la moindre brèche, se faufilant dans le moindre recoin.
在城市边缘的那所著名大学的操场上，一场几千人参加的批斗会已经进行了近两个小时。	Aux confins de la ville, sur le terrain de sport d’une université, une séance de critique publique à laquelle assistaient plusieurs milliers de personnes avait commencé depuis près de deux heures.
在这个派别林立的年代，任何一处都有错综复杂的对立派别在格斗。	En ces temps où coexistaient de multiples factions, des conflits complexes éclataient partout entre différentes obédiences.
在校园中，红卫兵、文革工作组、工宣队和军宣队，相互之间都在爆发尖锐的冲突，而每种派别的内部又时时分化出新的对立派系，捍卫着各自不同的背景和纲领，爆发更为残酷的较量。	Rien que sur le campus, des hostilités brutales opposaient gardes rouges, membres du Groupe de travail de la Révolution culturelle, miliciens de la brigade de propagande des travailleurs ou de la brigade de propagande des soldats. Chaque groupe finissait souvent par imploser et donnait naissance à de nouvelles coalitions internes qui revendiquaient chacune des principes et des programmes uniques. Leurs antagonismes déchaînaient des actes d’une cruauté plus infâme encore.
但这次被批斗的反动学术权威，却是任何一方均无异议的斗争目标，他们也只能同时承受来自各方的残酷打击。	Ils partageaient pourtant un ennemi commun : l’Autorité académique réactionnaire, si bien que les malheureux qu’on disait appartenir à cette tendance devaient endurer des attaques féroces provenant de tous côtés.
与其他的牛鬼蛇神相比，反动学术权威有他们的特点：当打击最初到来时，他们的表现往往是高傲而顽固的，这也是他们伤亡率最高的阶段；在首都，四十天的时间里就有一千七百多名批斗对象被活活打死，更多的人选择了更快捷的路径来逃避疯狂，老舍、吴晗、葛伯赞、傅雷、赵九章、以群、闻捷、海默等，都自己结束了他们那曾经让人肃然起敬的生命。	Les membres de l’Autorité académique réactionnaire possédaient des particularités qui les distinguaient des autres adversaires malfaisants de la révolution. Lorsqu’ils avaient été attaqués, leur première réaction avait été de répondre avec orgueil et ténacité, mais c’était cette attitude qui leur avait valu le plus d’exécutions. Rien que dans la capitale, en l’espace de quarante jours seulement, plus de mille sept cents personnes furent battues à mort au cours de séances de critique publique. Pour échapper à cette folie, beaucoup d’entre eux choisirent une voie plus rapide : Lao She, Wu Han, Jian Bozan, Fu Lei, Zhao Jiuzhang, Yi Qun, Wen Jie, Hai Mo et tant d’autres décidèrent de mettre eux-mêmes un terme à des vies autrefois très estimées.
从这一阶段幸存下来的人，在持续的残酷打击下渐渐麻木，这是一种自我保护的精神外壳，使他们避免最后的崩溃。	Ceux qui avaient survécu à cette étape devenaient progressivement insensibles aux coups répétés de fureur révolutionnaire ; c’était comme s’ils avaient développé une carapace spirituelle qui les protégeait d’un effondrement final.
他们在批斗会上常常进入半睡眠状态，只有一声恫吓才能使其惊醒过来，机械地重复那已说过无数遍的认罪词；然后，他们中的一部分人便进入了第三阶段，旷日持久的批判将鲜明的政治图像如水银般注入了他们的意识，将他们那由知识和理性构筑的思想大厦彻底摧毁，他们真的相信自己有罪，真的看到了自己对伟大事业构成的损害，并为此痛哭流涕，他们的忏悔往往比那此非知识分子的牛鬼蛇神要深刻得多，也真诚得多；而对于红卫兵来说，进入后两个阶段的批判对象是最乏味的，只有处于第一阶段的牛鬼蛇神才能对他们那早已过度兴奋的神经产生有效的刺激，如同斗牛士手上的红布，但这样的对象越来越少了，在这所大学中可能只剩下一个，他由于自己的珍稀而被留到批判大会最后出场。	Lors des séances de critique publique, ils plongeaient dans un état de demi-sommeil que seules les menaces vociférées à leur encontre étaient à même de secouer, ils répétaient mécaniquement un nombre incalculable de fois les mêmes aveux. Puis, le moment venait pour certains d’entre eux de passer à la troisième étape : après une séance de critique ayant duré jusqu’au soir, la glorieuse idéologie politique de la révolution se déversait comme du mercure dans leur conscience, ébranlant les fondations d’un édifice intellectuel jadis façonné par le savoir et la raison. Ils se mettaient à se croire effectivement coupables, constataient les dégâts qu’ils avaient véritablement causés à la grande cause du peuple, et ils pleuraient de douleur. Les confessions des intellectuels étaient toujours beaucoup plus profondes et sincères que celles des autres ennemis de la révolution.
	Mais pour les gardes rouges, les adversaires qui parvenaient jusqu’aux deux dernières étapes manquaient de piquant.
叶哲泰从文革开始一直活到了现在，并且一直处于第一阶段，他不认罪，不自杀，也不麻木。	Seuls les dangereux ennemis qui restaient bloqués à la première étape étaient capables de susciter une ferveur dans leurs esprits depuis longtemps fanatisés. Ces adversaires étaient des morceaux de tissu rouge agités par un matador, mais ils se faisaient de plus en plus rares. Il n’en restait plus qu’un seul dans cette université, un professeur dont la rare intransigeance lui avait valu l’honneur d’être le dernier convoqué en séance de critique publique. Ye Zhetai avait survécu à la Révolution culturelle jusqu’à ce jour et il en était toujours à la première étape : non seulement il refusait de reconnaître ses crimes, mais il ne s’était pas donné la mort et n’était pas devenu insensible aux accusations portées contre lui.
当这位物理学教授走上批判台时，他那神情分明在说：让我背负的十字架更沉重一些吧！	Lorsque le professeur de physique arriva à la barre, l’expression dans son regard disait clairement : Alourdissez encore ma croix !
红卫兵们让他负担的东西确实很重，但不是十字架。	Mais si le fardeau que les gardes rouges lui faisaient porter était en effet écrasant, ce n’était pas une croix.
别的批判对象戴的高帽子都是用竹条扎的框架，而他戴的这顶却是用一指粗的钢筋焊成的，还有他挂在胸前的那块牌子，也不是别人挂的木板，而是从实验室的一个烤箱上拆下的铁门，上面用黑色醒目地写着他的名字，并沿对角线画上了一个红色的大叉。	Les personnes condamnées à des séances de critique publique devaient en temps normal être coiffées d’un haut chapeau tressé en bambou, mais le sien était en acier soudé. Il portait aussi une pancarte sur sa poitrine, pas en bois comme d’ordinaire, mais une plaque en fer qui n’était autre que la porte du four de son laboratoire, barrée en diagonale d’une grande croix rouge et sur laquelle était écrit son nom en caractères noirs clinquants. 2.
押送叶哲泰上台的红卫兵比别的批判对象多了一倍，有六人，两男四女。	Les gardes rouges qui escortaient Ye Zhetai étaient deux fois plus nombreux que d'habitude : ils étaient six, deux garçons et quatre filles.
两个男青年步伐稳健有力，一副成熟的青年布尔什维克形象，他们都是物理系理论物理专业大四年级的，叶哲泰曾是他们的老师；那四名女孩子要年轻得多，都是大学附中的初二学生，这些穿着军装扎着武装带的小战士挟带着逼人的青春活力，像四团绿色的火焰包围着叶哲泰。	Les deux garçons marchaient d'un pas sûr et soutenu, leur apparence était celle de jeunes bolcheviks aguerris. Tous deux étaient en quatrième année de licence de sciences physiques, mention "physique théorique", et par ailleurs anciens étudiants de Ye Zhetai. Les quatre filles, beaucoup plus jeunes, étaient élèves de deuxième année du lycée affilié à l'université. Ces petites combattantes vêtues d'un uniforme serré à la taille par une ceinture militaire irradiaient de l'énergie bouillonnante propre à l'adolescence.
	On aurait dit quatre braseros verts encerclant Ye Zhetai.
叶哲泰的出现使下面的人群兴奋起来，刚才已有些乏力的口号声又像新一轮海潮般重新高昂起来，淹没了一切。	L'apparition de ce dernier provoqua l'embrasement de la foule qui se trouvait sous la tribune et les slogans que l'on rechignait à clamer quelques instants plus tôt résonnèrent de plus belle, comme une marée emportant tout sur son passage.
耐心地等口号声平息下去后，台上两名男红卫兵中的一人转向批判对象：“叶哲泰，你精通各种力学，应该看到自己正在抗拒的这股伟大的合力是多么强大，顽固下去是死路一条！	Après avoir patiemment attendu la fin de ce déferlement, les deux garçons debout sur l'estrade se tournèrent vers l'accusé : — Camarade Ye Zhetai, vous êtes un expert en sciences mécaniques, vous devez bien vous rendre compte que la force unie contre laquelle vous résistez est si puissante que si vous continuez à vous obstiner, elle vous conduira à la mort !
今天继续上次大会的议程，废话就不多说了。	Nous allons aujourd'hui reprendre la séance là où nous nous étions arrêtés la dernière fois. Ne perdons pas de temps en palabres.
老实回答下面的问题：在六二至六五届的基础课中，你是不是擅自加入了大量的相对论内容？	Professeur Ye, répondez à la question suivante : de 1962 à 1965, lors de vos cours d'introduction à la physique, avez-vous, oui ou non, donné sans permission un grand nombre d'informations sur la théorie de la relativité ?
！” “相对论已经成为物理学的古典理论，基础课怎么能不涉及它呢？” 叶哲泰回答说。	— La théorie de la relativité est un principe de base des sciences physiques, comment pourrais-je ne pas en avoir parlé durant mes cours de physique fondamentale ? répondit Ye Zhetai.
“你胡说！” 旁边的一名女红卫兵厉声说，“爱因斯坦是反动的学术权威，他有奶便是娘，跑去为美帝国主义造原子弹！	— Menteur ! hurla une jeune garde rouge à côté de lui. Einstein était un représentant de l'Autorité académique réactionnaire ! Et, comme les mauvais esprits se rencontrent, il est parti fabriquer la bombe atomique pour les impérialistes américains !
要建立起革命的科学，就要打倒以相对论为代表的资产阶级理论黑旗！”	Si nous voulons fonder une science véritablement révolutionnaire, il nous faut d'abord mettre à bas le pavillon noir de la théorie de la relativité qui représente les intérêts de la classe bourgeoise !
叶哲泰沉默着，他在忍受着头上铁高帽和胸前铁板带来的痛苦，不值得回应的问题就沉默了。	Ye Zhetai garda le silence, il encaissait la souffrance de devoir porter une coiffe de métal et une plaque sur la poitrine, restant muet aux questions qui ne méritaient aucune réponse.
在他身后，他的学生也微微皱了一下眉头。	Dans son dos, ses étudiants fronçaient les sourcils.
说话的女孩儿是这四个中学红卫兵中天资最聪颖的一个，并且显然有备而来，刚才上台前还看到她在背批判稿，但要对付叶哲泰，仅凭她那几句口号是不行的。	La jeune fille qui venait de prendre la parole était la plus sagace des quatre jeunes gardes rouges. Elle avait manifestement préparé sa tirade, car il l'avait vue un peu plus tôt répéter derrière la tribune. Cependant, pour affronter Ye Zhetai, il ne suffisait pas d'ânonner des slogans.
他们决定亮出今天为老师准备的新武器，其中的一人对台下挥了一下手。	Aujourd'hui, ils avaient choisi de faire usage d'une arme nouvelle pour vaincre le professeur. Une jeune garde rouge fit un signe de main à quelqu'un dans l'assistance.
叶哲泰的妻子，同系的物理学教授绍琳从台下的前排站起来，走上台。	Assise au premier rang, Shao Lin, épouse de Ye Zhetai et collègue de celui-ci dans la faculté de sciences physiques, se leva et monta sur l'estrade.
她身穿一件很不合体的草绿色衣服，显然想与红卫兵的色彩拉近距离，但熟悉绍琳的人联想到以前常穿精致旗袍讲课的她，总觉得别扭。	Elle était affublée d'une veste vert gazon qui ne lui allait pas du tout, mais qui se voulait tout proche de la couleur des uniformes des gardes rouges. Cependant, pour tous ceux qui avaient connu Shao Lin et savaient qu'elle aimait dans le passé se vêtir d'élégantes robes mandchoues, cet accoutrement paraissait saugrenu.
“叶哲泰！”	— Ye Zhetai ! cria-t-elle à l'adresse de son époux.
绍琳指着丈夫喝道，她显然不习惯于这种场合，尽量拔高自己的声音，却连其中的颤抖也放大了，“你没有想到我会站出来揭发你，批判你吧！ ？	Il était évident qu'elle n'avait guère l'habitude de ce genre de spectacle, et élever le ton lui coûtait des efforts, au point même que les trémolos dans sa voix avaient redoublé d'intensité. — Tu ne t'imaginais certainement pas que je me dresserais devant toi aujourd'hui pour te dénoncer et te critiquer, n'est-ce pas ?
是的，我以前受你欺骗，你用自己那反动的世界观和科学观蒙蔽了我！	Oui, tu m'as autrefois bernée, tu m'as aveuglée avec ta vision réactionnaire du monde et de la science ! Mais j'ai ouvert les yeux à présent !
现在我醒悟了，在革命小将的帮助下，我要站到革命的一边，人民的一边！”	Grâce à l'aide des petits généraux de la révolution, je me tiens désormais du côté de la révolution, du côté du peuple ! Elle se tourna vers l'assistance : — Camarades ! Petits généraux de la révolution !
她转向台下，/”同志们、革命小将们、革命的教职员工们，我们应该认清爱因斯坦相对论的反动本质，这种本质，广义相对论体现得最清楚；它提出的静态宇宙模型，否定了物质的运动本性，是反辩证法的！	Vous tous, personnels et éducateurs révolutionnaires ! Nous devons prendre conscience de la nature réactionnaire de la théorie de la relativité d'Einstein. Son aspect réactionnaire est encore plus explicite pour ce qui est du principe de la relativité gravitationnelle ! Il propose un modèle statique de l'univers et nie la nature dynamique de la matière.
	Cette théorie est antidialectique !
它认为宇宙有限，更是彻头彻尾的反动唯心主义……”	Elle prétend que l'univers a des limites, ce qui n'est autre chose que de l'idéalisme réactionnaire…
听着妻子滔滔不绝的演讲，叶哲泰苦笑了一下。	En entendant son épouse déverser son éloquent discours, Ye Zhetai eut un sourire amer :
琳，我蒙蔽了你？	— Lin, je t'ai donc aveuglée ?
其实你在我心中倒一直是个谜。	À dire vrai, tu as toujours été une énigme pour moi.
一次，我对你父亲称赞你那过人的天资——他很幸运，去得早，躲过了这场灾难——老人家摇摇头，说我女儿不可能在学术上有什么建树；接着，他说出了对我后半生很重要的一句话：琳琳太聪明了，可是搞基础理论，不笨不行啊。	Un jour, j'ai loué ton intelligence devant ton père – il a d'ailleurs de la chance d'être déjà parti, cela lui épargne d'être aujourd'hui témoin de ce désastre –, il a secoué la tête et m'a affirmé que sa fille n'apporterait jamais aucune contribution à la science. Puis, il a prononcé cette phrase qui s'est gravée en moi pour le reste de ma vie : "Lin est trop intelligente. Pour réussir dans le domaine des théories fondamentales, il faut être stupide."
以后的许多年里，我不断悟出这话的深意。	Les années ont passé et je n'ai cessé de méditer la signification de cette phrase.
琳，你真的太聪明了，早在几年前，你就嗅出了知识界的政治风向，做出了一些超前的举动，比如你在教学中，把大部分物理定律和参数都改了名字，欧姆定律改叫电阻定律，麦克斯韦方程改名成电磁方程，普朗克常数叫成了量子常数……你对学生们解释说：所有的科学成果都是广大劳动人民智慧的结晶，那些资产阶级学术权威不过是窃取了这些智慧。	Lin, tu es trop intelligente. Voilà déjà quelques années que tu as senti le vent politique tourner dans le monde académique. Tu as assuré tes arrières, par exemple en changeant dans tes cours les intitulés des paramètres et des lois de la physique : la loi d'Ohm est devenue la loi de la résistance électrique, les équations de Maxwell sont devenues les équations électromagnétiques, la constante de Planck est devenue la loi des quanta… Tu expliques à tes étudiants que les résultats de la science ne sont que la cristallisation de la sagesse des masses laborieuses, que les autorités académiques réactionnaires ne faisaient que dérober les fruits de cette sagesse.
但即使这样，你仍然没有被“革命主流”所接纳，看看现在的你，衣袖上没有“革命教职员工”都戴着的红袖章；你两手空空地上来，连一本语录都没资格拿……谁让你出生在旧中国那样一个显赫的家庭，你父母又都是那么著名的学者。	Mais malgré ton zèle, tu n'as toujours pas été admise dans le courant révolutionnaire, regarde-toi maintenant, tu ne portes même pas sur tes manches le brassard rouge du "personnel éducatif de la révolution". Tu es venue les mains vides, sans même avoir le droit d'emporter avec toi un ouvrage des citations des plus grands révolutionnaires… Pourquoi le destin t'a-t-il fait naître dans une illustre famille de la Chine ancienne ? Et dire que tes parents sont tous deux d'éminents scientifiques.
说起爱因斯坦，你比我有更多的东西需要交待。	Tiens, en parlant d'Einstein, tu as sans doute davantage à confesser que moi.
1922年冬天，爱因斯坦到上海访问，你父亲因德语很好被安排为接待陪同者之一。	Cet hiver de l'année 1922, lorsque Einstein est venu à Shanghai pour donner une conférence, ton père, qui parlait très bien l'allemand, a été désigné pour faire partie de ses accompagnateurs.
你多次告诉我，父亲是在爱因斯坦的亲自教诲下走上物理学之路的，而你选择物理专业又是受了父亲的影响，所以爱翁也可以看作你的间接导师，你为此感到无比的自豪和幸福。	Tu m'as raconté plusieurs fois que c'est avec la bénédiction d'Einstein lui-même que ton père avait suivi la voie des sciences physiques et que, si tu avais choisi de faire de la physique ton métier, c'était sous l'influence directe de ton père. Ce qui faisait donc du grand Albert ton mentor indirect ! Quel bonheur, quelle fierté tu en tirais !
后来我知道，父亲对你讲了善意的谎言，他与爱因斯坦只有过一次短得不能再短的交流。	Puis plus tard, j'ai appris que ton père t'avait raconté un mensonge bienveillant, car il n'avait en réalité échangé qu'un bref instant avec Einstein.
那是l922年11月l3日上午，他陪爱因斯坦到南京路散步，同行的好像还有上海大学校长于右任、《大公报》经理曹谷冰等人，经过一个路基维修点，爱因斯坦在一名砸石子的小工身旁停下，默默看着这个在寒风中衣衫破烂、手脸污黑的男孩子，问你父亲：他一天挣多少钱？	C'était le matin du 13 novembre 1922, alors qu'il marchait dans la rue de Nankin, accompagné, si je ne me trompe, de Yu Youren, président de l'université de Shanghai, de Cao Gubing, patron du journal Ta Kung Pao, et d'autres chercheurs… Tandis qu'ils passaient à côté d'un chantier de voirie, Einstein s'est arrêté à hauteur d'un ouvrier en train de briser des pierres, il a regardé en silence ce garçon aux mains et au visage sales simplement vêtu d'une chemise en loques dans le vent glacial de l'hiver. Il a demandé à ton père : "Combien gagne cet homme par jour ?"
问过小工后，你父亲回答：五分。	Après avoir interrogé l'ouvrier, ton père a répondu : "Cinq centimes."
这就是他与改变世界的科学大师唯一的一次交流，没有物理学，没有相对论，只有冰冷的现实。	Ce fut le seul échange entre ton père et ce scientifique qui a changé la face du monde. Il n'a été question ni de physique ni de théorie de la relativité, simplement de la dureté de la réalité.
据你父亲说，爱因斯坦听到他的回答后又默默地站在那里好一会儿，看着小工麻木的劳作，手里的烟斗都灭了也没有吸一口。	Selon ton père, Einstein est resté debout en silence encore un moment au même endroit en observant le labeur languissant du jeune garçon. La pipe qu'il tenait dans sa main s'est éteinte alors même qu'il n'en avait pas tiré une seule bouffée.
你父亲在回忆这件事后，对我发出这样的感叹：在中国，任何超脱飞扬的思想都会砰然坠地的，现实的引力太沉重了。	Lorsqu'il m'a raconté ce souvenir, ton père a lâché un soupir en disant : "En Chine, toutes les pensées libres et contestataires, après avoir pris leur envol, finissent toutes un jour ou l'autre par s'écraser sur le sol, car la gravité de la réalité est trop lourde."
“低下头！” 一名男红卫兵大声命令。	— Baisse la tête ! ordonna en hurlant un garde rouge.
这也许是自己的学生对老师一丝残存的同情，被批斗者都要低头，但叶哲泰要这样，那顶沉重的铁高帽就会掉下去，以后只要他一直低着头，就没有理由再给他戴上。	Ye Zhetai n'aurait pas su dire pourquoi, mais il avait senti dans cette injonction comme la manifestation d'un reliquat de sympathie d'un étudiant pour son professeur. Car en lui accordant de baisser la tête, le chapeau de métal tomberait et tant qu'on lui ordonnerait de maintenir la tête baissée, il n'y aurait aucune raison pour le forcer à porter à nouveau le chapeau.
但叶哲泰仍昂着头，用瘦弱的脖颈支撑着那束沉重的钢铁。	Cependant Ye Zhetai garda la tête haute, soutenant à la force de son maigre cou le pesant couvre-chef.
“低头！	— Baisse la tête !
你个反动顽固分子！	Espèce d'insolent réactionnaire !
！” 旁边一名女红卫兵解下腰间的皮带朝叶哲泰挥去，黄铜带扣正打在他脑门上，在那里精确地留下了带扣的形状，但很快又被淤血模糊成黑紫的一团。	Une garde rouge qui se tenait à côté de lui se défit de sa ceinture de cuir et la lança en direction de Ye Zhetai. En heurtant son front, la boucle en laiton de la ceinture laissa une marque visible qui fut très vite escamotée par un gros hématome violacé.
他摇晃了一下，又站稳了。	Ye Zhetai chancela, mais il parvint à retrouver son équilibre.
一名男红卫兵质问叶哲泰：“在量子力学的教学中，你也散布过大量的反动言论！”	Un garde rouge reprit ses semonces : — Lors de vos cours sur la mécanique quantique, vous avez aussi propagé une grande quantité de contrevérités réactionnaires.
说完对绍琳点点头，示意她继续。	Cela dit, il fit signe de la tête vers Shao Lin pour lui indiquer qu'elle pouvait poursuivre.
绍琳迫不及待地要继续下去了，她必须不停顿地说下去，以维持自己那摇摇欲坠的精神免于彻底垮掉。	Shao Lin n'attendait que cette occasion, elle devait continuer à parler sans relâche pour préserver son esprit d'un effritement total.
“叶哲泰，这一点你是无法抵赖的！	— Ye Zhetai, voilà un fait que tu ne pourras pas nier !
你多次向学生散布反动的哥本哈根解释！”	Combien de fois as-tu distillé à tes étudiants l'hypothèse contre-révolutionnaire de l'école de Copenhague ?
“这毕竟是目前公认的最符合实验结果的解释。”	— Mais ce n'est ni plus ni moins que l'hypothèse reconnue comme étant la plus conforme à l'interprétation des résultats expérimentaux, rétorqua Ye Zhetai.
叶哲泰说，在受到如此重击后，他的口气还如此从容，这让绍琳很吃惊，也很恐惧。	Le ton de sa voix, toujours aussi calme même après qu'il eut reçu un tel coup, emplit Shao Lin de stupeur et d'angoisse.
“这个解释认为，是外部的观察导致了量子波函数的坍缩，这是反动唯心论的另一种表现形式，而且是一种最猖狂的表现！”	— Cette interprétation postule qu'une observation extérieure conduit à une réduction du paquet d'ondes. Encore une autre manifestation outrageante de l'idéalisme réactionnaire !
“是哲学指引实验还是实验指引哲学？”	— Est-ce la philosophie qui doit guider l'expérience ou l'expérience qui doit guider la philosophie ? l'interrogea Ye Zhetai.
叶哲泰问道，他这突然的反击令批判者们一时不知所措。	Cette soudaine contre-attaque plongea un moment ses accusateurs dans l'embarras.
“当然是正确的马克思主义哲学指引科学实验！” 一名男红卫兵说。	— C'est bien entendu la juste philosophie marxiste qui doit diriger les expériences scientifiques ! lança un garde rouge.
“这等于说正确的哲学是从天上掉下来的，这反对实践出真知，恰恰是违背马克思主义对自然界的认知原则的。”	— Cela revient donc à dire que cette prétendue "philosophie" juste tombe du ciel. C'est donc remettre en cause l'idée que les connaissances véritables proviennent de la pratique, ce qui – soit dit en passant – va précisément à contre-courant des principes marxistes de la connaissance du monde naturel.
